traj_idx	step_idx	n_tokens	mean_nll
21	11	176	1.335654085332697
21	12	14	1.8905465262276786
21	13	271	1.5568229421918243
21	14	14	1.951631682259696
21	15	226	2.247156733960177
21	16	14	2.0525429589407787
21	17	109	1.956183197301462
21	18	330	2.4761648467092803
21	19	96	2.6465066274007163
22	0	224	4.37175532749721
22	1	14	2.3518355233328685
22	2	122	3.4393130443135247
22	3	14	2.4021644592285156
22	4	196	2.3215783566844705
22	5	14	2.105689593723842
22	6	166	1.861224806452372
22	7	14	2.1084534781319753
22	8	68	2.0912096360150505
22	9	14	2.0355292728969028
22	10	68	0.6596143385943245
22	11	14	2.112950461251395
22	12	68	0.6075535942526424
22	13	14	2.0353869029453824
22	14	68	0.6245949128094841
22	15	14	2.1098403930664062
22	16	68	0.5882819119621726
22	17	14	2.0365476608276367
22	18	68	0.5903408948112937
22	19	14	1.9876580919538225
22	20	68	0.5795840095071232
22	21	14	2.1113225391932895
22	22	68	0.5947330699247473
22	23	14	2.150878361293248
22	24	68	0.5759362613453585
22	25	14	2.0935727528163364
22	26	68	0.5906759149887982
22	27	14	2.0372800827026367
22	28	68	0.5684079001931583
22	29	14	2.216926302228655
22	30	68	0.5928472631117877
22	31	13	2.4284977546105018
22	32	188	1.1356152473612036
22	33	14	2.3192340305873325
22	34	177	1.9464925130208333
22	35	14	1.9577538626534599
22	36	79	1.0314319465733781
22	37	14	1.890331404549735
22	38	79	0.5340917080263549
22	39	14	1.9863131386893136
22	40	79	0.4675884005389636
22	41	14	2.0116540363856723
22	42	79	0.4727105249332476
22	43	14	1.9198617935180664
22	44	79	0.4594583632070807
22	45	14	1.8899297714233398
22	46	79	0.44934941545317447
22	47	14	1.8899010249546595
22	48	79	0.45035181166250493
22	49	14	1.9412121091570174
22	50	79	0.46933591818507714
22	51	14	1.9900125776018416
22	52	79	0.45987884907782833
22	53	423	2.7464527463800237
22	54	349	1.3386828578304084
23	0	245	4.020013552295918
23	1	14	2.4984354291643416
23	2	521	1.836091903715811
23	3	12	2.3656601905822754
23	4	55	1.7886702104048295
23	5	337	2.150501647405879
23	6	102	1.0711280972349877
24	0	238	3.879337086397059
24	1	14	2.437873295375279
24	2	146	2.667761606712864
24	3	14	2.4115837642124722
24	4	350	2.447763497488839
24	5	417	1.8055333565179106
24	6	81	2.814843448591821
25	0	245	4.020013552295918
25	1	14	2.4984354291643416
25	2	672	1.6190548851376487
25	3	12	2.6008006731669107
25	4	69	1.068573882614357
25	5	261	2.428786471428999
25	6	116	1.3685697358230065
26	0	248	4.013783116494456
26	1	14	2.5669473920549666
26	2	283	2.2939500572824647
26	3	14	2.5155909402029857
26	4	147	1.7485081679156038
26	5	14	2.260507038661412
26	6	320	1.356941032409668
26	7	14	2.164328030177525
26	8	313	1.4465965782872403
26	9	14	2.0875522068568637
26	10	212	0.6440472872752063
26	11	14	2.0125318254743303
26	12	123	0.4640182247006796
26	13	14	1.9939196450369698
26	14	114	0.409731480113247
26	15	14	1.7850516183035714
26	16	114	0.4059216683371025
26	17	14	1.7999992370605469
26	18	125	0.5326595458984374
26	19	13	2.5887330862192006
26	20	372	1.0087424657678092
26	21	12	2.388796329498291
26	22	11	5.180652271617543
26	23	249	2.4154498854794175
26	24	107	1.0419620264356382
27	0	176	4.710104162042791
27	1	14	2.388232094900949
27	2	366	2.267908648714993
27	3	222	2.332215455201295
27	4	71	1.5600393590792803
28	0	238	3.866801029493829
28	1	14	2.433713640485491
28	2	207	2.4571269307159573
28	3	14	2.4304501669747487
28	4	270	1.8729556613498264
28	5	14	2.140744618007115
28	6	211	1.6282522192498519
28	7	13	2.2929116762601414
28	8	197	1.5730635744666086
28	9	14	2.1460366930280412
28	10	207	1.178560855883907
28	11	13	2.086284637451172
28	12	164	0.8277053833007812
28	13	14	2.051016398838588
28	14	165	0.2920768968986742
28	15	14	2.05521365574428
28	16	165	0.2590026393081203
28	17	14	2.026045935494559
28	18	165	0.2622532931241122
28	19	13	2.112300285926232
28	20	164	0.2628602748963891
28	21	14	1.9933580671037947
28	22	165	0.2483888105912642
28	23	14	2.0932136263166154
28	24	165	0.23128729155569366
28	25	14	1.8831848417009627
28	26	165	0.2360246600526752
28	27	14	1.9777344294956751
28	28	165	0.23236754446318655
28	29	14	2.0582054683140347
28	30	165	0.23455257993755918
28	31	330	2.994518118193655
28	32	111	2.4165962837837838
29	0	226	4.257956175677545
29	1	141	2.98302313622008
29	2	14	2.5922309330531528
29	3	166	2.4321632844855987
29	4	14	2.2670130048479353
29	5	144	1.4874494340684679
29	6	13	2.258235051081731
29	7	153	1.7113884819878473
29	8	14	2.350581305367606
29	9	149	1.1700785592098364
29	10	14	2.20739323752267
29	11	184	1.734829280687415
29	12	14	1.9732021604265486
29	13	192	1.1201690832773845
29	14	14	2.0051043374197826
29	15	184	0.7659256976583729
29	16	14	1.9973633629935128
29	17	181	0.4247369924302918
29	18	13	2.21350831251878
29	19	180	0.3329703860812717
29	20	14	2.1689278738839284
29	21	181	0.2204012159484526
29	22	13	2.217731475830078
29	23	180	0.20567501915825737
29	24	14	2.1181396756853377
29	25	181	0.20812832321251296
29	26	14	2.1129578181675504
29	27	181	0.19803722655575579
29	28	14	2.12778445652553
29	29	181	0.19947039356547824
29	30	370	2.9617764859586146
29	31	104	2.4480482248159556
30	0	231	4.412312297077922
30	1	14	2.4099693298339844
30	2	116	2.9086030105064653
30	3	14	2.3821007864815846
30	4	162	2.156693446783372
30	5	14	2.1599478040422713
30	6	221	1.4573518917031958
30	7	14	1.9747403008597237
30	8	180	1.537325710720486
30	9	14	1.9862397057669503
30	10	499	2.2924520916833666
30	11	14	1.945427758353097
30	12	118	1.2893392271914725
30	13	14	1.996284348624093
30	14	784	2.121894680723852
30	15	12	2.386580149332682
30	16	50	1.9755609130859375
30	17	382	2.4238517721285993
30	18	491	1.6562895298975306
31	0	233	4.356557690534469
31	1	14	2.416506086077009
31	2	172	2.1268097633539242
31	3	14	2.4128341674804688
31	4	189	1.4299618352657903
31	5	14	2.3082967485700334
31	6	220	1.385102705522017
31	7	14	1.9673915590558733
31	8	175	1.6931874302455356
31	9	14	1.9620628356933594
31	10	172	0.37322408099507176
31	11	14	2.0097258431570872
31	12	177	0.7529981365311618
31	13	14	1.9186949048723494
31	14	160	0.33610732555389405
31	15	14	1.9683997290475028
31	16	160	0.2576937675476074
31	17	14	1.8746794291904993
31	18	160	0.24622094631195068
31	19	14	1.88533387865339
31	20	160	0.24428887367248536
31	21	14	1.8589180537632533
31	22	160	0.2432628870010376
31	23	14	1.9751490184238978
31	24	160	0.24306480884552
31	25	14	1.8736211231776647
31	26	160	0.23918366432189941
31	27	14	1.8537119456699915
31	28	160	0.23548388481140137
31	29	14	2.017856870378767
31	30	160	0.23863911628723145
31	31	379	2.8176198672493404
31	32	163	2.482698967120399
32	0	243	4.11865133905607
32	1	14	2.516879217965262
32	2	89	3.512730287701896
32	3	14	2.3932497841971263
32	4	73	2.0683158979023974
32	5	14	2.440079552786691
32	6	190	2.0577138800370065
32	7	207	2.404156081342467
32	8	64	1.1978816986083984
33	0	226	4.257956175677545
33	1	14	2.3432017735072543
33	2	189	2.4266845057250332
33	3	14	2.5676373073032925
33	4	168	2.2070194426037015
33	5	14	2.088879312787737
33	6	175	1.654469517299107
33	7	14	1.96824768611363
33	8	138	1.3609790525574614
33	9	14	1.900733130318778
33	10	178	1.6701625866836376
33	11	14	1.8068816321236747
33	12	168	1.8424473717099143
33	13	13	2.0511741638183594
33	14	74	1.7080536919671137
33	15	13	2.2083570040189304
33	16	74	0.7029129234520165
33	17	14	2.0263561521257674
33	18	144	2.2594896952311196
33	19	315	2.1028465634300595
33	20	67	2.87457275390625
34	0	233	4.356557690534469
34	1	14	2.416506086077009
34	2	188	2.5085423246343086
34	3	14	2.5584520612444197
34	4	196	1.639267279177296
34	5	14	2.3677335466657365
34	6	174	1.7602625002806214
34	7	14	2.2378503254481723
34	8	138	1.5500198585399683
34	9	14	2.086927686418806
34	10	128	1.9363089799880981
34	11	12	2.3034515380859375
34	12	63	2.275626772925967
34	13	12	2.346075693766276
34	14	63	0.8778997148786273
34	15	14	2.272824968610491
34	16	125	1.285327392578125
34	17	12	2.3760986328125
34	18	63	0.7754600161597842
34	19	14	2.137651171003069
34	20	84	0.9091013045538039
34	21	12	2.4094300270080566
34	22	63	0.744232177734375
34	23	14	2.0611294337681363
34	24	90	0.9757987976074218
34	25	14	2.1350739342825755
34	26	90	0.4822931925455729
34	27	12	2.2755794525146484
34	28	63	0.7287556481739831
34	29	14	2.1450049536568776
34	30	90	0.43694932725694446
34	31	12	2.50858211517334
34	32	63	0.6970657469734313
34	33	14	2.0268286296299527
34	34	90	0.4093975067138672
34	35	14	2.0558313642229353
34	36	90	0.3949012756347656
34	37	12	2.3563758532206216
34	38	63	0.6858459957062252
34	39	14	2.008859634399414
34	40	90	0.3995764838324653
34	41	14	2.183780942644392
34	42	90	0.402459971110026
34	43	12	2.3460132280985513
34	44	63	0.6702179681687128
34	45	14	1.9329259055001395
34	46	90	0.3804219563802083
34	47	12	2.264378547668457
34	48	63	0.6759708949497768
34	49	14	1.9626166479928153
34	50	90	0.39962081909179686
34	51	14	2.0712524141584123
34	52	90	0.3813436296251085
34	53	417	2.6621641163631593
34	54	106	2.4053228126381927
35	0	229	4.257631526763783
35	1	14	2.3756021772112166
35	2	148	3.1025755598738387
35	3	14	2.420567103794643
35	4	151	1.5426613510839198
35	5	14	2.386822836739676
35	6	183	1.605710555946892
35	7	12	2.2092747688293457
35	8	78	2.505084698016827
35	9	313	2.2718065158246805
35	10	79	0.8761809143839003
36	0	241	4.002264378971084
36	1	14	2.502307891845703
36	2	268	2.4386478253264925
36	3	203	1.7750337347021243
36	4	73	0.8163312102017337
37	0	249	4.219301032254016
37	1	14	2.5293194907052174
37	2	496	2.3611531411447833
37	3	308	2.106758414924919
37	4	162	1.319355152271412
38	0	240	4.041094716389974
38	1	14	2.551544734409877
38	2	289	2.6673643118782437
38	3	14	2.4616432189941406
38	4	332	1.9502504647496235
38	5	13	2.22220699603741
38	6	164	1.5345470149342606
38	7	14	2.317774908883231
38	8	142	1.1317568496919015
38	9	12	2.5391130447387695
38	10	105	1.6798175630115328
38	11	317	1.896730826104101
38	12	63	1.0941394624255953
39	0	238	3.879337086397059
39	1	14	2.437873295375279
39	2	217	2.556712629608295
39	3	14	2.42852783203125
39	4	260	1.8121863731971153
39	5	14	2.173093795776367
39	6	239	1.5158888046711558
39	7	13	2.31687017587515
39	8	247	2.020261571474886
