model	subset	seed	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_val@1	agent_acc_val@1	step_acc_val@3	agent_acc_val@3	step_acc_test@1	agent_acc_test@1	step_acc_test@3	agent_acc_test@3
qwen3.5-9b	arc	18	embed	1	3	backprop	0-2	0.0	1	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	succ-strong	0-2	0.0	1	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	succ-near	0-2	0.0	1	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	backprop	0-2	0.0	2	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	succ-strong	0-2	0.0	2	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	succ-near	0-2	0.0	2	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	backprop	0-2	0.0	3	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	succ-strong	0-2	0.0	3	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	succ-near	0-2	0.0	3	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	backprop	0-2	0.0	4	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
