dataset	model	subset	position	c_begin	c_end	layer_range	w	seed	gamma	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	0.3	0.3448275862068966	0.6896551724137931	0.16666666666666666	0.5
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	0.4	0.27586206896551724	0.6551724137931034	0.08333333333333333	0.5
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	0.5	0.10344827586206896	0.5172413793103449	0.08333333333333333	0.5
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	0.6	0.10344827586206896	0.5172413793103449	0.08333333333333333	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	0.7	0.10344827586206896	0.5172413793103449	0.08333333333333333	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	0.8	0.06896551724137931	0.5172413793103449	0.08333333333333333	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	0.9	0.06896551724137931	0.5517241379310345	0.08333333333333333	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	1.0	0.06896551724137931	0.5517241379310345	0.08333333333333333	0.5833333333333334
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	0.0	0.3492063492063492	0.5555555555555556	0.2692307692307692	0.5384615384615384
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	0.1	0.3333333333333333	0.5238095238095238	0.2692307692307692	0.5384615384615384
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	0.2	0.3333333333333333	0.5238095238095238	0.3076923076923077	0.5769230769230769
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	0.3	0.3333333333333333	0.5396825396825397	0.34615384615384615	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	0.4	0.38095238095238093	0.5873015873015873	0.38461538461538464	0.6923076923076923
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	0.5	0.4126984126984127	0.6031746031746031	0.38461538461538464	0.6923076923076923
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	0.6	0.4126984126984127	0.5873015873015873	0.38461538461538464	0.6923076923076923
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	0.7	0.4126984126984127	0.5873015873015873	0.38461538461538464	0.6923076923076923
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	0.8	0.42857142857142855	0.6031746031746031	0.38461538461538464	0.6923076923076923
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	0.9	0.42857142857142855	0.6031746031746031	0.4230769230769231	0.6923076923076923
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	3	1.0	0.42857142857142855	0.5873015873015873	0.34615384615384615	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	0.0	0.38095238095238093	0.5714285714285714	0.2692307692307692	0.5769230769230769
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	0.1	0.3968253968253968	0.5873015873015873	0.23076923076923078	0.5384615384615384
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	0.2	0.3968253968253968	0.5873015873015873	0.2692307692307692	0.5769230769230769
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	0.3	0.3968253968253968	0.5873015873015873	0.2692307692307692	0.5769230769230769
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	0.4	0.38095238095238093	0.5555555555555556	0.3076923076923077	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	0.5	0.4126984126984127	0.5714285714285714	0.34615384615384615	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	0.6	0.4126984126984127	0.5714285714285714	0.34615384615384615	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	0.7	0.4603174603174603	0.6190476190476191	0.3076923076923077	0.5769230769230769
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	0.8	0.4603174603174603	0.6190476190476191	0.34615384615384615	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	0.9	0.4603174603174603	0.6190476190476191	0.34615384615384615	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	4	1.0	0.49206349206349204	0.6666666666666666	0.34615384615384615	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	0.0	0.42857142857142855	0.6349206349206349	0.3076923076923077	0.5384615384615384
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	0.1	0.4126984126984127	0.6349206349206349	0.3076923076923077	0.5384615384615384
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	0.2	0.42857142857142855	0.6349206349206349	0.3076923076923077	0.5384615384615384
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	0.3	0.42857142857142855	0.6507936507936508	0.34615384615384615	0.5769230769230769
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	0.4	0.42857142857142855	0.6507936507936508	0.34615384615384615	0.5384615384615384
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	0.5	0.4444444444444444	0.6666666666666666	0.38461538461538464	0.5769230769230769
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	0.6	0.4444444444444444	0.6507936507936508	0.38461538461538464	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	0.7	0.42857142857142855	0.6349206349206349	0.38461538461538464	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	0.8	0.4444444444444444	0.6507936507936508	0.38461538461538464	0.6153846153846154
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	0.9	0.4444444444444444	0.6190476190476191	0.4230769230769231	0.6538461538461539
ww	deepseek-8b	algorithm-generated	act/3	1	5	24-32	1	5	1.0	0.4444444444444444	0.6031746031746031	0.34615384615384615	0.6153846153846154
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	0.0	0.2413793103448276	0.6206896551724138	0.16666666666666666	0.5833333333333334
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	0.1	0.2413793103448276	0.6206896551724138	0.16666666666666666	0.5833333333333334
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	0.2	0.27586206896551724	0.6206896551724138	0.16666666666666666	0.5833333333333334
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	0.3	0.1724137931034483	0.5862068965517241	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	0.4	0.1724137931034483	0.5517241379310345	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	0.5	0.1724137931034483	0.5517241379310345	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	0.6	0.1724137931034483	0.5862068965517241	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	0.7	0.1724137931034483	0.5862068965517241	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	0.8	0.13793103448275862	0.5517241379310345	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	0.9	0.10344827586206896	0.5862068965517241	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	13	1.0	0.10344827586206896	0.5862068965517241	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	0.0	0.3448275862068966	0.6551724137931034	0.08333333333333333	0.75
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	0.1	0.3448275862068966	0.6551724137931034	0.08333333333333333	0.75
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	0.2	0.3103448275862069	0.6551724137931034	0.08333333333333333	0.75
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	0.3	0.3103448275862069	0.6551724137931034	0.08333333333333333	0.75
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	0.4	0.20689655172413793	0.5517241379310345	0.0	0.6666666666666666
