dataset	model	subset	seeds	position	c_begin	c_end	row	lambda	selected	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-raw	0.9	False	0.09573241061130333	0.42791234140715106	0.08908045977011494	0.4482758620689655
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-raw	1.0	False	0.07727797001153403	0.378316032295271	0.07758620689655173	0.4224137931034483
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	earliest-top5	0.0	True	0.07727797001153403	0.5063437139561707	0.07758620689655173	0.5517241379310345
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	soap		True	0.4648212226066897	0.6897347174163784	0.4827586206896551	0.7270114942528735
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	base	0.0	True	0.6118143459915611	0.6033755274261604	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-z	0.1	False	0.6033755274261603	0.6033755274261604	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-z	0.2	False	0.6033755274261603	0.6033755274261604	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-z	0.3	False	0.6033755274261603	0.6033755274261604	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-z	0.4	False	0.6118143459915611	0.6033755274261604	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-z	0.5	False	0.620253164556962	0.6033755274261604	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-z	0.6	True	0.620253164556962	0.6033755274261604	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-z	0.7	False	0.6118143459915611	0.5949367088607594	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-z	0.8	False	0.6075949367088608	0.5907172995780591	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-z	0.9	False	0.6075949367088608	0.5907172995780591	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-z	1.0	False	0.6075949367088608	0.5907172995780591	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-raw	0.1	True	0.02109704641350211	0.004219409282700422	0.020833333333333332	0.010416666666666666
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-raw	0.2	False	0.02109704641350211	0.0	0.020833333333333332	0.0
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-raw	0.3	False	0.02109704641350211	0.0	0.020833333333333332	0.0
