with_gt	judge	family	column	step_mean	step_min	step_max	agent_mean	n_runs
True	qwen3.5-9b	oat	CE	0.5620529752505851	0.5607440019273712	0.5653623323800518	0.7023846060513298	5
True	qwen3.5-9b	oat	TE-Cap	0.17984496124031008	0.14728682170542637	0.1937984496124031	0.5085271317829457	5
True	qwen3.5-9b	oat	TE-Mag	0.2	0.18115942028985507	0.21739130434782608	0.7	5
True	qwen3.5-9b	oat	WW-AG	0.22116402116402117	0.20105820105820105	0.25396825396825395	0.455026455026455	5
True	qwen3.5-9b	oat	WW-HC	0.08045977011494253	0.08045977011494253	0.08045977011494253	0.5287356321839081	5
True	qwen3.5-9b	stepfinder	CE	0.285187477061189	0.1757379339504865	0.34675792230446806	0.5609587308196338	5
True	qwen3.5-9b	stepfinder	TE-Cap	0.13643410852713178	0.11627906976744186	0.17054263565891473	0.4248062015503876	5
True	qwen3.5-9b	stepfinder	TE-Mag	0.08985507246376812	0.07971014492753624	0.10869565217391304	0.5985507246376811	5
True	qwen3.5-9b	stepfinder	WW-AG	0.18518518518518517	0.14814814814814814	0.22751322751322753	0.44232804232804235	5
True	qwen3.5-9b	stepfinder	WW-HC	0.12873563218390807	0.0574712643678161	0.19540229885057472	0.37011494252873567	5
