column	with_gt	judge	method	step_acc	agent_acc	n_subsets	family	train_seed
WW-HC	True	qwen3-embedding-0.6b	stepfinder.s43	0.08045977011494253	0.4942528735632184	1	stepfinder	43
WW-HC	True	qwen3-embedding-0.6b	stepfinder.s44	0.1264367816091954	0.47126436781609193	1	stepfinder	44
WW-HC	True	qwen3-embedding-0.6b	stepfinder.s45	0.08045977011494253	0.367816091954023	1	stepfinder	45
WW-HC	True	qwen3-embedding-0.6b	stepfinder.s46	0.1264367816091954	0.41379310344827586	1	stepfinder	46
WW-HC	True	qwen3.5-9b	oat.s42	0.08045977011494253	0.5632183908045977	1	oat	42
WW-HC	True	qwen3.5-9b	oat.s43	0.08045977011494253	0.47126436781609193	1	oat	43
WW-HC	True	qwen3.5-9b	oat.s44	0.08045977011494253	0.5287356321839081	1	oat	44
WW-HC	True	qwen3.5-9b	oat.s45	0.08045977011494253	0.5632183908045977	1	oat	45
WW-HC	True	qwen3.5-9b	oat.s46	0.08045977011494253	0.5172413793103449	1	oat	46
WW-HC	True	qwen3.5-9b	stepfinder.s42	0.13793103448275865	0.3218390804597701	1	stepfinder	42
WW-HC	True	qwen3.5-9b	stepfinder.s43	0.10344827586206896	0.3563218390804597	1	stepfinder	43
WW-HC	True	qwen3.5-9b	stepfinder.s44	0.19540229885057472	0.4597701149425288	1	stepfinder	44
WW-HC	True	qwen3.5-9b	stepfinder.s45	0.0574712643678161	0.3333333333333333	1	stepfinder	45
WW-HC	True	qwen3.5-9b	stepfinder.s46	0.14942528735632185	0.37931034482758624	1	stepfinder	46
CE	False	deepseek-8b	oat.s42	0.5246117306394747	0.6926954678590539	7	oat	42
CE	False	deepseek-8b	oat.s43	0.5307210931427859	0.6876405594260078	7	oat	43
CE	False	deepseek-8b	oat.s44	0.5287297610230383	0.6996428681187401	7	oat	44
CE	False	deepseek-8b	oat.s45	0.5236131969577598	0.6874173118961865	7	oat	45
CE	False	deepseek-8b	oat.s46	0.5174241444008872	0.6845386901521938	7	oat	46
CE	False	deepseek-8b	stepfinder.s42	0.37053391808342134	0.7200242211918786	7	stepfinder	42
CE	False	deepseek-8b	stepfinder.s43	0.2741729290013246	0.5448807728558288	7	stepfinder	43
CE	False	deepseek-8b	stepfinder.s44	0.43405494820601837	0.698875917847001	7	stepfinder	44
CE	False	deepseek-8b	stepfinder.s45	0.3890319696084193	0.6796172774928104	7	stepfinder	45
CE	False	deepseek-8b	stepfinder.s46	0.37763316026305016	0.7210382346645173	7	stepfinder	46
CE	False	qwen3-embedding-0.6b	stepfinder.s42	0.28309161063178245	0.606421852347397	7	stepfinder	42
CE	False	qwen3-embedding-0.6b	stepfinder.s43	0.2426623784673975	0.5460480603821476	7	stepfinder	43
CE	False	qwen3-embedding-0.6b	stepfinder.s44	0.41070799809230457	0.6613891805194649	7	stepfinder	44
CE	False	qwen3-embedding-0.6b	stepfinder.s45	0.36521192623104287	0.6239463533575602	7	stepfinder	45
CE	False	qwen3-embedding-0.6b	stepfinder.s46	0.3360727036801001	0.6474051213979237	7	stepfinder	46
CE	False	qwen3.5-9b	oat.s42	0.5652681323840743	0.6998442623267617	7	oat	42
CE	False	qwen3.5-9b	oat.s43	0.5633644778844653	0.7051418771520381	7	oat	43
CE	False	qwen3.5-9b	oat.s44	0.5633779497290637	0.7068279289450121	7	oat	44
CE	False	qwen3.5-9b	oat.s45	0.5667409377736191	0.7073909219091926	7	oat	45
CE	False	qwen3.5-9b	oat.s46	0.5662195795840173	0.7099878097862	7	oat	46
CE	False	qwen3.5-9b	stepfinder.s42	0.32111994101988606	0.6370825742364504	7	stepfinder	42
CE	False	qwen3.5-9b	stepfinder.s43	0.2766755790554381	0.6050157947389401	7	stepfinder	43
CE	False	qwen3.5-9b	stepfinder.s44	0.4353289531707502	0.6679371393829711	7	stepfinder	44
CE	False	qwen3.5-9b	stepfinder.s45	0.11537938792650124	0.45538831621785697	7	stepfinder	45
CE	False	qwen3.5-9b	stepfinder.s46	0.3531555435909328	0.6360742573601329	7	stepfinder	46
CE	True	deepseek-8b	oat.s42	0.5242700629052208	0.6978179223699763	7	oat	42
CE	True	deepseek-8b	oat.s43	0.5254529389132075	0.6918188923403686	7	oat	43
CE	True	deepseek-8b	oat.s44	0.5323510992442185	0.696549545969698	7	oat	44
CE	True	deepseek-8b	oat.s45	0.5235119480159014	0.693326631970761	7	oat	45
CE	True	deepseek-8b	oat.s46	0.5140751111151928	0.6900767090224935	7	oat	46
CE	True	deepseek-8b	stepfinder.s42	0.2060975000204691	0.5823501158714797	7	stepfinder	42
CE	True	deepseek-8b	stepfinder.s43	0.160470826445848	0.4386742659884036	7	stepfinder	43
CE	True	deepseek-8b	stepfinder.s44	0.31217440668785107	0.589406754877021	7	stepfinder	44
CE	True	deepseek-8b	stepfinder.s45	0.272403549255343	0.5596071804987309	7	stepfinder	45
CE	True	deepseek-8b	stepfinder.s46	0.29843519493818504	0.6234900467679558	7	stepfinder	46
CE	True	qwen3-embedding-0.6b	stepfinder.s42	0.2727694899254943	0.5885646973791977	7	stepfinder	42
CE	True	qwen3-embedding-0.6b	stepfinder.s43	0.21335143218942249	0.5120984907791468	7	stepfinder	43
CE	True	qwen3-embedding-0.6b	stepfinder.s44	0.38990670020606094	0.6395174717595511	7	stepfinder	44
CE	True	qwen3-embedding-0.6b	stepfinder.s45	0.3153921609985003	0.5737462343185608	7	stepfinder	45
CE	True	qwen3-embedding-0.6b	stepfinder.s46	0.3116461018634939	0.619239501690086	7	stepfinder	46
CE	True	qwen3.5-9b	oat.s42	0.5620711099971692	0.6966482776877497	7	oat	42
CE	True	qwen3.5-9b	oat.s43	0.5653623323800518	0.7016335662237513	7	oat	43
CE	True	qwen3.5-9b	oat.s44	0.5607440019273712	0.7066241408663486	7	oat	44
CE	True	qwen3.5-9b	oat.s45	0.5610659216115649	0.7038100791947974	7	oat	45
CE	True	qwen3.5-9b	oat.s46	0.5610215103367684	0.7032069662840023	7	oat	46
